DateTime,AddedIPs,RemovedIPs
1478711325,1,0
1478740127,0,1
1478754579,0,1
1478761710,1,0
1478772581,0,1
1478776158,1,0
1478783335,0,2
1478790514,1,1
1478794120,1,1
1478797721,2,0
1478812105,0,2
1478819319,1,0
1478833726,1,0
1478876923,0,1
1478880509,1,1
1478898531,1,0
1478927323,0,1
1478934544,0,1
1478938118,1,0
1478941725,1,0
1478956130,0,1
1478966932,0,1
1478977722,1,0
1478988526,0,1
1478992115,1,0
1479017316,0,1
1479042524,1,1
1479056919,0,1
1479060526,2,0
1479085708,0,1
1479089317,1,0
1479092918,0,1
1479103725,1,0
1479121724,0,1
1479132985,1,0
1479136733,1,0
1479146933,0,1
1479154151,1,0
1479179313,0,3
1479182915,2,0
1479211723,0,1
1479218933,1,0
1479222512,1,0
1479233382,0,1
1479237026,1,0
1479247726,1,1
1479251319,0,1
1479254904,1,0
1479265706,1,0
1479269302,0,1
1479280107,0,1
1479298176,1,0
1479302179,0,1
1479312507,0,1
1479319710,0,1
1479323305,1,1
1479326908,1,0
1479330513,1,0
1479377312,0,1
1479380905,1,0
1479470966,0,1
1479474507,1,0
1479517709,0,1
1479521310,0,1
1479524905,1,0
1479528510,1,0
1479557305,0,1
1479560902,1,0
1479589710,0,1
1479596915,1,0
1479607698,1,0
1479640107,0,1
1479650915,1,0
1479658120,0,1
1479661722,0,1
1479676107,1,0
1479683472,1,0
1479719373,0,1
1479787700,1,0
1479870503,0,2
1479877704,2,0
1479892108,0,1
1479906494,1,0
1479920912,0,1
1479924512,0,1
1479935302,2,0
1479974888,0,1
1479978503,0,1
1479992905,1,0
1480000113,1,0
1480014514,0,1
1480018098,0,1
1480021705,1,0
1480028900,1,0
1480043311,0,2
1480050505,1,0
1480075726,0,1
1480079311,1,0
1480118911,0,1
1480151299,1,0
1480190903,0,1
1480194501,1,0
1480223300,0,1
1480230514,1,0
1480259313,0,1
1480266512,1,0
1480316924,0,1
1480320517,1,0
1480417721,0,1
1480428525,1,1
1480432328,1,0
1480446837,0,2
1480450115,1,0
1480460915,1,0
1480464515,0,1
1480468115,1,0
1480493314,0,1
1480507721,1,0
1480526473,0,1
1480536520,1,0
1480558120,0,1
1480572518,0,1
1480579723,1,0
1480601304,0,1
1480604934,1,0
1480630108,0,1
1480640902,1,0
1480666117,0,1
1480669743,1,0
1480691310,0,1
1480694922,1,0
1480745300,0,1
1480774101,1,0
1480788498,0,2
1480792110,1,0
1480806519,1,0
1480810123,1,0
1480824505,0,1
1480831702,0,1
1480842498,0,1
1480856910,1,0
1480874904,1,0
1480889318,0,1
1480900118,1,0
1480914511,0,1
1480932515,1,0
1480946922,0,1
1480950514,1,1
1480961318,1,0
1480964914,0,1
1480968520,1,0
1480986499,1,0
1481001345,0,1
1481012067,0,1
1481019332,0,1
1481023413,1,0
1481026597,0,1
1481047718,1,0
1481051310,1,0
1481062182,0,1
1481069310,1,0
1481098103,0,1
1481102020,1,1
