DateTime,Entries,UniqueIPs
1478044802,274,274
1478059202,294,294
1478073602,319,319
1478088002,316,316
1478102402,344,344
1478116802,342,342
1478131202,349,349
1478145602,367,367
1478160002,366,366
1478174403,341,341
1478188802,356,356
1478203203,376,376
1478217602,371,371
1478232003,367,367
1478246403,365,365
1478260802,327,327
1478275203,334,334
1478289602,323,323
1478304002,304,304
1478318403,305,305
1478332802,323,323
1478347202,301,301
1478361602,304,304
1478376002,295,295
1478390402,267,267
1478404802,257,257
1478419202,257,257
1478433602,222,222
1478448003,212,212
1478462403,214,214
1478476802,209,209
1478491203,178,178
1478505604,169,169
1478520002,162,162
1478534402,172,172
1478548803,186,186
1478563202,187,187
1478577603,194,194
1478592003,205,205
1478606403,207,207
1478620803,263,263
1478635203,284,284
1478649603,334,334
1478664002,377,377
1478692802,346,346
1478707202,413,413
1478721603,428,428
1478736003,464,464
1478750403,522,522
1478764803,516,516
1478779203,544,544
1478793603,553,553
1478808002,549,549
1478822403,500,500
1478836802,513,513
1478851203,486,486
1478865602,456,456
1478880002,451,451
1478894402,436,436
1478908803,404,404
1478923202,405,405
1478937602,386,386
1478952002,326,326
1478966402,313,313
1478980802,324,324
1478995202,311,311
1479009602,300,300
1479024002,276,276
1479038403,251,251
1479052802,227,227
1479067203,200,200
1479081603,152,152
1479096002,133,133
1479110403,128,128
1479124802,130,130
1479139203,142,142
1479153602,144,144
1479168003,137,137
1479182403,127,127
1479211203,99,99
1479225603,115,115
1479240002,134,134
1479254403,140,140
1479268802,153,153
1479283203,143,143
1479297602,143,143
1479312003,157,157
1479326403,169,169
1479340802,165,165
1479355203,182,182
1479369602,183,183
1479384003,198,198
1479398402,203,203
1479412803,197,197
1479427203,198,198
1479441602,203,203
1479456003,210,210
1479470402,220,220
1479484803,239,239
1479499203,258,258
1479513602,260,260
1479528002,253,253
1479542403,243,243
1479556804,255,255
1479571202,282,282
1479585602,283,283
1479600002,292,292
1479614403,282,282
1479628803,242,242
1479643203,242,242
1479657602,254,254
1479672002,249,249
1479686402,233,233
1479700803,223,223
1479715203,190,190
1479729602,218,218
1479744003,273,273
1479758403,307,307
1479772803,366,366
1479787202,431,431
1479801602,441,441
1479816003,439,439
1479830402,458,458
1479844802,465,465
1479859202,505,505
1479873602,526,526
1479888002,459,459
1479902402,435,435
1479916801,391,391
1479931202,345,345
1479945602,299,299
1479960003,302,302
1479974402,294,294
1479988802,303,303
1480003202,292,292
1480017607,274,274
1480032003,249,249
1480046402,275,275
1480060802,277,277
1480075202,273,273
1480089603,280,280
1480104002,285,285
1480118403,267,267
1480132803,260,260
1480147202,237,237
1480161602,233,233
1480176002,228,228
1480190402,219,219
1480204802,205,205
1480219203,191,191
1480233602,174,174
1480248003,152,152
1480262402,144,144
1480276803,148,148
1480291202,144,144
1480305602,141,141
1480320002,153,153
1480334403,168,168
1480348803,183,183
1480363203,200,200
1480377602,204,204
1480392002,220,220
1480406402,234,234
1480420802,247,247
1480435203,259,259
1480449603,272,272
1480464003,273,273
1480478402,268,268
1480492803,259,259
1480507202,260,260
1480521602,263,263
1480532403,282,282
1480546802,292,292
1480561202,306,306
1480575602,312,312
1480590002,323,323
1480604402,330,330
1480618802,344,344
1480633202,349,349
1480647602,361,361
1480662003,348,348
1480676402,346,346
1480690802,345,345
1480705203,333,333
1480719602,313,313
1480734003,281,281
1480748402,268,268
1480762802,246,246
1480777202,227,227
1480791602,215,215
1480806002,190,190
1480820402,171,171
1480834802,145,145
1480849202,128,128
1480863602,119,119
1480878002,120,120
1480892402,115,115
1480906802,115,115
1480921202,121,121
1480935602,125,125
1480950002,136,136
1480964402,144,144
1480978802,152,152
1480993202,158,158
1481007603,163,163
1481022002,172,172
1481036403,199,199
1481050802,201,201
1481065202,208,208
1481079602,204,204
1481094002,199,199
1481108402,199,199
1481122802,206,206
1481137202,205,205
1481151603,193,193
1481166002,195,195
1481180402,179,179
1481194802,162,162
1481209202,168,168
1481223603,178,178
1481238002,168,168
1481252402,178,178
1481266802,161,161
1481281202,166,166
1481295601,175,175
1481310002,173,173
1481324403,166,166
1481338802,163,163
1481353203,152,152
1481367602,138,138
1481382002,139,139
1481396402,136,136
1481410802,126,126
1481425202,116,116
1481439602,100,100
1481454002,87,87
1481468402,82,82
1481482802,78,78
1481497202,74,74
1481511602,73,73
1481526003,60,60
1481540402,63,63
1481554801,73,73
1481569202,91,91
1481583602,102,102
1481598002,129,129
1481612402,145,145
1481626802,158,158
1481641202,182,182
1481655602,205,205
1481670002,224,224
1481684402,248,248
1481698802,255,255
1481713202,249,249
1481727602,257,257
1481742004,303,303
1481756402,294,294
1481770802,299,299
1481785202,303,303
1481799602,308,308
1481814002,317,317
1481828404,331,331
1481842802,322,322
1481857202,325,325
1481871602,324,324
1481886002,318,318
1481900402,287,287
1481914803,295,295
1481929202,284,284
1481943602,282,282
1481958003,276,276
1481972402,260,260
1481986802,246,246
1482001202,246,246
1482015602,242,242
1482030002,233,233
1482044402,223,223
1482058802,217,217
1482073201,205,205
1482087602,195,195
1482102002,177,177
1482116403,160,160
1482130802,148,148
1482145202,155,155
1482159602,171,171
1482174002,177,177
1482188403,169,169
1482202802,171,171
1482217202,170,170
1482231602,180,180
1482246002,193,193
1482260402,217,217
1482274802,228,228
1482289203,215,215
1482303603,207,207
1482318002,194,194
1482332402,199,199
1482346802,200,200
1482361202,200,200
1482375602,200,200
1482390003,192,192
1482404403,187,187
1482418802,168,168
1482433203,162,162
1482447601,170,170
1482462002,167,167
1482476402,165,165
